ts,open,high,low,close,volume
1737301800000,3379.29,3385.7,3373.66,3383.0,1254.26673
1737302100000,3382.8,3391.3,3382.0,3384.29,738.631315
1737302400000,3384.17,3394.66,3380.0,3380.0,1050.106257
1737302700000,3380.0,3406.76,3378.03,3402.9,2119.233832
1737303000000,3402.99,3405.6,3391.17,3391.41,910.197645
1737303300000,3391.7,3412.16,3390.47,3411.17,2181.066164
1737303600000,3411.39,3417.81,3408.08,3414.6,1688.836422
1737303900000,3414.6,3422.95,3410.51,3415.72,1452.72589
1737304200000,3416.1,3424.8,3400.3,3407.61,2099.609831
1737304500000,3407.61,3419.4,3407.1,3407.4,821.780116
1737304800000,3407.48,3411.34,3401.66,3402.31,638.364722
1737305100000,3402.44,3413.5,3401.12,3413.37,633.23946
1737305400000,3413.37,3419.69,3406.45,3407.5,637.338107
1737305700000,3407.49,3415.64,3401.67,3410.62,858.529545
1737306000000,3411.01,3424.61,3408.03,3417.21,1073.995959
1737306300000,3416.73,3417.8,3409.54,3414.71,583.969253
1737306600000,3414.69,3421.1,3405.57,3406.57,788.785286
1737306900000,3406.56,3411.99,3384.97,3393.4,1674.732509
1737307200000,3393.69,3405.74,3389.99,3405.22,662.135008
1737307500000,3405.22,3436.0,3405.07,3426.66,3356.606844
1737307800000,3426.66,3429.29,3406.27,3407.84,1755.274739
1737308100000,3407.85,3416.8,3402.98,3414.41,540.663524
1737308400000,3414.41,3426.03,3412.9,3419.95,671.420952
1737308700000,3420.21,3425.74,3414.8,3425.5,509.452713
1737309000000,3425.21,3444.1,3424.3,3438.98,1232.495923
1737309300000,3438.99,3447.86,3438.21,3442.5,1404.690316
1737309600000,3442.71,3449.0,3435.14,3437.2,955.485268
1737309900000,3437.19,3437.3,3428.75,3434.1,705.185418
1737310200000,3433.8,3440.6,3433.61,3435.49,467.228906
1737310500000,3435.37,3436.3,3421.89,3426.77,865.375368
1737310800000,3426.85,3427.32,3415.15,3417.83,442.374473
1737311100000,3417.83,3418.79,3409.84,3410.17,552.334217
1737311400000,3410.18,3415.66,3406.34,3407.65,1052.79615
1737311700000,3407.65,3417.95,3407.65,3415.65,347.653237
1737312000000,3415.66,3418.75,3410.71,3412.05,245.522295
1737312300000,3412.04,3419.65,3409.92,3418.35,332.747257
1737312600000,3418.34,3423.82,3417.4,3420.06,654.70701
1737312900000,3419.67,3433.69,3419.67,3433.14,809.866538
1737313200000,3432.73,3433.07,3424.03,3425.88,527.616835
1737313500000,3426.15,3430.83,3420.7,3422.03,312.86122
1737313800000,3422.04,3429.99,3421.28,3423.8,307.113969
1737314100000,3423.8,3428.49,3420.0,3425.14,336.841345
1737314400000,3425.14,3432.75,3422.72,3424.74,771.161726
1737314700000,3424.75,3429.99,3423.34,3428.11,430.886032
